Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
5 Star Wrestling: ReGenesis,-9,5,2,0.132925648580802
5-in-1 Solitaire,1,2,3,5.77857033358591e-02
50 Cent: Blood on the Sand,-8,6,2,7.92662174459756e-02
50 Cent: Bulletproof,-30,16,2,0.126775934344899
50 Cent: Bulletproof G Unit Edition,-6,4,1,8.86170990538679e-02
50 Classic Games 3D,-3,3,2,8.17213268526399e-02
50 Pinch Barrage!!,-12,7,1,0.112033254765677
50 Years,-3,7,6,0.154813361291154
5D Chess With Multiverse Time Travel,-4,5,3,7.92778962836658e-02
6-Hand Video Poker,0,4,4,0.101074774398197
60 Parsecs!,-12,15,13,0.166993425715217
60 Seconds!,-11,19,14,0.142456496398227
60 Seconds! Reatomized,8,15,20,0.143832037282001
6180 the Moon,-14,23,16,0.14830646212628
7 Billion Humans,-1,4,4,0.110365720360342
7 Days to Die,-24,18,10,0.159728015599353
7 Wonders of the Ancient World,-14,14,9,0.126882995274898
7th Dragon III Code: VFD,-16,20,12,0.245909122861307
7th Sector,-5,20,19,0.124956064229449
8 to Glory: The Official Game of the PBR,-8,10,8,0.12217133885274
8-Bit Adv Steins;Gate,-8,8,7,0.16342943362754
8-Bit Adventure Anthology: Volume One,-5,13,13,0.159178732418646
8-Bit Armies,-21,14,6,0.12761766579424
8-Bit Hordes,6,11,13,0.148317963988332
8-Bit Invaders!,-12,16,11,0.149622533211531
80 DAYS,0,3,4,9.29752697541374e-02
"80's Overdrive",2,21,24,0.19520837093651
88 Heroes,13,11,17,0.162821572294714
88 Heroes: 98 Heroes Edition,-16,17,12,0.249084334995617
8Bit Hero,2,3,5,0.104887307676511
8DAYS,-11,17,11,0.12690045844217
8Doors,-9,13,10,0.219812552211119
9 Monkeys of Shaolin,33,20,34,0.163102671183044
9-nine-:Episode 3,-12,10,4,0.150889231534386
9-nine-:Episode 4,2,6,6,0.153541594305781
911 Operator,-25,29,16,0.203522919967254
911 Operator: Deluxe Edition,-18,10,3,0.148168572764143
99Moves,4,3,6,0.122183339377189
99Seconds,0,3,4,0.112132394384201
99Vidas,-9,20,20,0.196704379673156
99Vidas: Definitive Edition,3,4,6,0.15225413694665
9th Dawn III: Shadow of Erthil,-6,16,14,0.170497861393677
