Game,StdDev_Sentiment,TotalNegative,TotalPositive,StdDev_ContainWord
ACA NeoGeo: Puzzle Bobble,0,4,4,7.92817888472546e-02
ACA NeoGeo: Puzzle Bobble 2,0,4,4,7.92817888472546e-02
ACA NeoGeo: Puzzled,0,4,4,7.92817888472546e-02
ACA NeoGeo: Real Bout Fatal Fury,-4,6,4,8.86362530225011e-02
ACA NeoGeo: Real Bout Fatal Fury Special,0,4,4,7.92817888472546e-02
ACA NeoGeo: Robo Army,0,4,4,7.92817888472546e-02
ACA NeoGeo: Samurai Shodown,0,6,6,9.7099964285426e-02
ACA NeoGeo: Samurai Shodown II,-4,6,4,8.86362530225011e-02
ACA NeoGeo: Samurai Shodown III,0,4,4,7.92817888472546e-02
ACA NeoGeo: Samurai Shodown IV,0,4,4,7.92817888472546e-02
ACA NeoGeo: Samurai Shodown V,0,4,4,7.92817888472546e-02
ACA NeoGeo: Sengoku,-4,10,8,8.40859892616487e-02
ACA NeoGeo: Sengoku 2,-4,6,4,8.86362530225011e-02
ACA NeoGeo: Sengoku 3,0,4,4,7.92817888472546e-02
ACA NeoGeo: Shock Troopers,0,4,4,7.92817888472546e-02
ACA NeoGeo: Soccer Brawl,0,4,4,7.92817888472546e-02
ACA NeoGeo: SpinMaster,0,4,4,7.92817888472546e-02
ACA NeoGeo: Stakes Winner,0,4,4,7.92817888472546e-02
ACA NeoGeo: Street Hoop,0,4,4,7.92817888472546e-02
ACA NeoGeo: Super Sidekicks,0,4,4,7.92817888472546e-02
"ACA NeoGeo: The King of Fighters '94",-8,12,8,8.86319007476699e-02
"ACA NeoGeo: The King of Fighters '95",0,4,4,7.92817888472546e-02
"ACA NeoGeo: The King of Fighters '96",0,4,4,7.92817888472546e-02
"ACA NeoGeo: The King of Fighters '98",-4,8,6,0.122178916544722
"ACA NeoGeo: The King of Fighters '99",0,6,6,0.115572074226406
ACA NeoGeo: The King of Fighters 2000,-2,14,12,9.81011945427686e-02
ACA NeoGeo: The Last Blade,0,4,4,7.92817888472546e-02
ACA NeoGeo: The Last Blade 2,0,4,4,7.92817888472546e-02
ACA NeoGeo: The Super Spy,0,4,4,7.92817888472546e-02
ACA NeoGeo: Twinkle Star Sprites,0,4,4,7.92817888472546e-02
ACA NeoGeo: Waku Waku 7,0,4,4,7.92817888472546e-02
ACA NeoGeo: World Heroes,-12,20,14,0.168165556401363
ACA NeoGeo: World Heroes 2,0,8,8,7.92778959013954e-02
ACA NeoGeo: World Heroes 2 Jet,0,4,4,7.92817888472546e-02
ACA NeoGeo: World Heroes Perfect,-16,16,8,0.15091531448701
ACA NeoGeo: Zed Blade,0,4,4,7.92817888472546e-02
ACA NeoGeo: Zupapa!,0,4,4,7.92817888472546e-02
ACORN Tactics,0,4,4,7.92817888472546e-02
ACT IT OUT! A Game of Charades,6,8,12,8.52447447485066e-02
ADIOS Amigos,0,4,4,7.92817888472546e-02
ADR1FT,0,4,4,7.92817888472546e-02
ADVERSE,0,4,4,7.92817888472546e-02
AER: Memories of Old,0,20,24,0.109753480645999
AFFECTED: The Manor,0,4,4,7.92817888472546e-02
AFL Evolution,0,4,4,7.92817888472546e-02
AFL Evolution 2,0,4,4,7.92817888472546e-02
AGOS: A Game of Space,0,4,4,7.92817888472546e-02
AI War 2: The Spire Rises,-4,6,4,8.86362530225011e-02
AI: The Somnium Files,0,8,8,7.92778959013954e-02
AIPD - Artificial Intelligence Police Department,-18,34,30,0.172203796813906
ALTDEUS: Beyond Chronos,-4,10,8,8.40859892616487e-02
AMF Bowling 2004,-6,8,6,9.90952293689209e-02
AMF Bowling Pinbusters!,0,4,4,7.92817888472546e-02
AMF Bowling World Lanes,-22,14,6,0.149578697904897
AMF Xtreme Bowling,-6,18,14,0.124562068982047
AMID EVIL,18,4,12,0.12372815607339
AMY,-46,36,16,0.142159735734186
ANIMUS: Harbinger,0,4,4,7.92817888472546e-02
ANNIE:Last Hope,0,4,4,7.92817888472546e-02
AO International Tennis,8,8,12,8.86319007476699e-02
AO Tennis,6,8,10,8.97345507848404e-02
AO Tennis 2,-2,26,26,0.100570329142937
APB: Reloaded,0,4,4,7.92817888472546e-02
AR Games,-4,6,4,8.86362530225011e-02
ARC STYLE: Baseball 3D,0,4,4,7.92817888472546e-02
ARC STYLE: Soccer 3D,0,4,4,7.92817888472546e-02
ARC STYLE: Solitaire,0,4,4,7.92817888472546e-02
ARCADE FUZZ,0,4,4,7.92817888472546e-02
ARIA CHRONICLE,0,4,4,7.92817888472546e-02
ARK Park,14,6,10,0.135854316295021
ARK: Survival Evolved,2,16,16,9.50492122173165e-02
ARK: Survival Evolved - Genesis,-34,20,6,0.164505519194483
ARKANOID Live!,0,4,4,7.92817888472546e-02
ARMORED HEAD,0,4,4,7.92817888472546e-02
ARMS,0,4,4,7.92817888472546e-02
ASCENDANCE: First Horizon,0,4,4,7.92817888472546e-02
ASTRO AQUA KITTY,0,4,4,7.92817888472546e-02
ASTRONEER,0,4,4,7.92817888472546e-02
ATOM RPG,0,4,4,7.92817888472546e-02
ATOMIK: RunGunJumpGun,0,4,4,7.92817888472546e-02
ATOMINE,0,12,12,7.92765983802061e-02
ATRI -My Dear Moments-,0,4,4,7.92817888472546e-02
ATV Offroad Fury,4,4,6,8.86362530225011e-02
ATV Offroad Fury 2,6,4,6,9.90952293689209e-02
ATV Offroad Fury 3,0,4,4,7.92817888472546e-02
ATV Offroad Fury 4,6,8,14,0.144290221632012
ATV Offroad Fury Pro,18,4,12,0.120511229144709
"ATV Offroad Fury: Blazin' Trails",0,4,4,7.92817888472546e-02
ATV Quad Kings,0,4,4,7.92817888472546e-02
ATV Quad Power Racing 2,2,24,32,0.12055510944181
ATV Wild Ride 3D,-4,6,4,8.86362530225011e-02
ATV: Quad Power Racing,-24,18,8,0.112091102544728
AVICII Invector,30,18,28,0.130951718105779
AVICII Invector Encore Edition,0,4,4,7.92817888472546e-02
Aabs Animals,0,4,4,7.92817888472546e-02
Aaero,-26,34,26,0.150266914104541
Aaero: Complete Edition,0,4,4,7.92817888472546e-02
"Aaru's Awakening",2,10,14,0.164640531184608
Abo Khashem,-4,6,4,8.86362530225011e-02
Aborigenus,0,4,4,7.92817888472546e-02
"About Love, Hate & The Other Ones 2",0,4,4,7.92817888472546e-02
Absolute Drift,0,4,4,7.92817888472546e-02
Absolute Drift: Zen Edition,12,16,20,0.134417047529267
Absolutely Unstoppable MineRun,0,4,4,7.92817888472546e-02
Absolver,-4,10,8,8.40859892616487e-02
Abyss,10,8,12,0.132945094766888
Abyss Odyssey,8,12,16,0.106728242598108
Abyss Odyssey: Extended Dream Edition,0,4,4,7.92817888472546e-02
Abyss of the Sacrifice,0,4,4,7.92817888472546e-02
Abyss: The Wraiths of Eden,0,8,8,7.92778959013954e-02
Academia: School Simulator,0,4,4,7.92817888472546e-02
Academy of Champions: Soccer,0,4,4,7.92817888472546e-02
Acalesia,0,4,4,7.92817888472546e-02
Accel World vs. Sword Art Online: Millennium Twilight,0,4,4,7.92817888472546e-02
Acceleration of SUGURI X-Edition,0,4,4,7.92817888472546e-02
Access Denied,-4,14,12,8.25132841977151e-02
Accounting+,22,16,28,0.197163617914992
Ace Armstrong vs. the Alien Scumbags!,0,4,4,7.92817888472546e-02
Ace Banana,0,4,4,7.92817888472546e-02
Ace Combat 04: Shattered Skies,0,4,4,7.92817888472546e-02
Ace Combat 2,0,4,4,7.92817888472546e-02
Ace Combat 5: The Unsung War,0,4,4,7.92817888472546e-02
Ace Combat 6: Fires of Liberation,24,6,22,0.134346144497926
Ace Combat 7: Skies Unknown,2,10,10,9.40118145415728e-02
Ace Combat Advance,-2,10,8,0.126912178035891
Ace Combat Infinity,0,4,4,7.92817888472546e-02
Ace Combat X: Skies of Deception,14,8,14,0.138715880530457
Ace Combat Zero: The Belkan War,0,4,4,7.92817888472546e-02
Ace Combat: Assault Horizon,-20,20,10,0.117237140271534
Ace Combat: Assault Horizon Legacy,0,4,4,7.92817888472546e-02
Ace Combat: Assault Horizon Legacy+,0,4,4,7.92817888472546e-02
Ace Combat: Joint Assault,0,16,16,0.142927277449643
Ace of Seafood,0,8,8,7.92778959013954e-02
Aces of the Galaxy,4,4,6,8.86362530225011e-02
Aces of the Luftwaffe,-6,12,10,0.141541399608958
Aces of the Luftwaffe: Squadron,-18,22,16,0.117245748951019
Aces of the Multiverse,0,4,4,7.92817888472546e-02
Achtung! Cthulhu Tactics,0,12,12,7.92765983802061e-02
Acorn Assault: Rodent Revolution,0,4,4,7.92817888472546e-02
Acron: Attack of the Squirrels!,0,4,4,7.92817888472546e-02
Across the Grooves,0,8,8,7.92778959013954e-02
Action Arcade Wrestling,0,4,4,7.92817888472546e-02
Action Bass,0,4,4,7.92817888472546e-02
Action Girlz Racing,10,4,10,9.90827718074695e-02
Action Henk,0,14,20,0.129964982177354
Action News Heroes,0,12,12,0.150948028821926
Active Life Explorer,0,4,4,7.92817888472546e-02
Active Life: Extreme Challenge,0,4,4,7.92817888472546e-02
Active Life: Magical Carnival,0,4,4,7.92817888472546e-02
Active Life: Outdoor Challenge,-8,8,4,9.70872507057596e-02
Active Neurons - Puzzle game,0,4,4,7.92817888472546e-02
Active Neurons 2,0,4,4,7.92817888472546e-02
Active Neurons 3 - Wonders Of The World,-4,10,8,8.40859892616487e-02
Active Soccer 2 DX,-4,24,26,0.152235761518609
Active Soccer 2019,0,8,8,7.92778959013954e-02
Activision Anthology,-4,10,8,8.40859892616487e-02
Activision Hits Remixed,0,4,4,7.92817888472546e-02
Actual Crimes: Jack the Ripper,0,4,4,7.92817888472546e-02
Actual Sunlight,-4,6,4,8.86362530225011e-02
AdVenture Capitalist,0,4,4,7.92817888472546e-02
Adabana Odd Tales,0,4,4,7.92817888472546e-02
"Adam's Venture Chronicles",0,4,4,7.92817888472546e-02
"Adam's Venture: Origins",-22,28,20,0.122699669616259
Adidas miCoach,-8,16,12,9.90942560063017e-02
Adios,4,18,24,0.134421638706634
Adrenalin Misfits,0,4,4,7.92817888472546e-02
Advance Guardian Heroes,6,10,12,0.157315508883829
Advance Wars,6,6,10,0.106729869269967
Advance Wars 2: Black Hole Rising,0,4,4,7.92817888472546e-02
Advent Rising,0,4,4,7.92817888472546e-02
Adventure Bar Story,0,4,4,7.92817888472546e-02
Adventure Boy Jailbreak,-4,6,4,8.86362530225011e-02
Adventure Island: The Beginning,-2,18,20,0.173923274837384
Adventure Labyrinth Story,0,4,4,7.92817888472546e-02
Adventure Pop,0,8,8,7.92778959013954e-02
"Adventure Time: Explore the Dungeon Because I DON'T KNOW!",0,28,32,0.102982479450613
Adventure Time: Finn and Jake Investigations,8,26,30,0.118913275766592
"Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!",12,8,12,0.131452846240939
Adventure Time: Pirates of the Enchiridion,0,12,12,7.92765983802061e-02
Adventure Time: The Secret of the Nameless Kingdom,-2,18,18,9.50492122173165e-02
Adventure on Lost Island: Hidden Object Game,0,4,4,7.92817888472546e-02
Adventures of Bertram Fiddle Episode 2: A Bleaker Predicklement,0,4,4,7.92817888472546e-02
Adventures of Chris,4,12,16,0.106730410967844
Adventures of Isabelle Fine: Murder on Rails,0,4,4,7.92817888472546e-02
Adventures of Pip,-8,28,26,0.113850737228901
Adventures to Go!,0,4,4,7.92817888472546e-02
Aedis Eclipse: Generation of Chaos,26,10,20,0.186915982485934
Aefen Fall,-4,6,4,8.86362530225011e-02
Aegis Defenders,12,8,14,9.50435534232392e-02
Aegis Wing,10,4,10,9.90827718074695e-02
Aegis of Earth: Protonovus Assault,0,4,4,7.92817888472546e-02
Aenigma Os,0,4,4,7.92817888472546e-02
Aeolis Tournament,0,4,4,7.92817888472546e-02
Aeon Flux,-4,20,22,0.132952493033856
